Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA015 Community marriage organization,Code: EA015 Community marriage organization,Description: EA015 Community marriage organization,Comment: EA015 Community marriage organization,Subcase: EA015 Community marriage organization,References: EA015 Community marriage organization,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,CousinsDistinguished,Focal Year: EA024 Cousin marriages permitted: subtypes,Code: EA024 Cousin marriages permitted: subtypes,Description: EA024 Cousin marriages permitted: subtypes,Comment: EA024 Cousin marriages permitted: subtypes,Subcase: EA024 Cousin marriages permitted: subtypes,References: EA024 Cousin marriages permitted: subtypes,PermitFirstCousins,Focal Year: EA026 Cousin marriages preferred: subtypes,Code: EA026 Cousin marriages preferred: subtypes,Description: EA026 Cousin marriages preferred: subtypes,Comment: EA026 Cousin marriages preferred: subtypes,Subcase: EA026 Cousin marriages preferred: subtypes,References: EA026 Cousin marriages preferred: subtypes,PreferCrossCousins
Ethnographic Atlas,Ontong Java,Ii5,xd884,Ontong Java (Ii5),-5.48,159.7,-5,160,onto1237,Ontong Java,ojv,Austronesian,1920,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,"Leuenuwa, Lord Howe's Islanders",Hogbin(1931b); Hogbin(1931a); Hogbin(1938); Hogbin(1931c); ,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,"Leuenuwa, Lord Howe's Islanders",Hogbin(1931b); Hogbin(1931a); Hogbin(1938); Hogbin(1931c); ,0,1920,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,"Leuenuwa, Lord Howe's Islanders",Hogbin(1931b); Hogbin(1931a); Hogbin(1938); Hogbin(1931c); ,0,1920,9,No preferred cousin marriage,,"Leuenuwa, Lord Howe's Islanders",Hogbin(1931b); Hogbin(1931a); Hogbin(1938); Hogbin(1931c); ,0
Ethnographic Atlas,Birom,Ah17,xd306,Birom (Ah17),10,9,10,9,bero1242,Berom,bom,Atlantic-Congo,1930,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,,Gunn(1953); ,1930,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Gunn(1953); ,1,1930,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,,Gunn(1953); ,0,1930,9,No preferred cousin marriage,,,Gunn(1953); ,0
Ethnographic Atlas,Igbo,Af10,xd187,Ibo (Af10),6,7,6,7,nucl1417,Nuclear Igbo,ibo,Atlantic-Congo,1930,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,,Egboh(1971); Leith-Ross(1939); Uchendu(1965); Ardener(1954); Forde and Jones(1950); Green(1947); Egboh(1973/4); Egboh(1972b); Egboh(1972a); ,1930,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Egboh(1971); Leith-Ross(1939); Uchendu(1965); Ardener(1954); Forde and Jones(1950); Green(1947); Egboh(1973/4); Egboh(1972b); Egboh(1972a); ,1,1930,7,Nonlateral marriage when evidence is available only for first cousins,,,Egboh(1971); Leith-Ross(1939); Uchendu(1965); Ardener(1954); Forde and Jones(1950); Green(1947); Egboh(1973/4); Egboh(1972b); Egboh(1972a); ,0,1930,9,No preferred cousin marriage,,,Egboh(1971); Leith-Ross(1939); Uchendu(1965); Ardener(1954); Forde and Jones(1950); Green(1947); Egboh(1973/4); Egboh(1972b); Egboh(1972a); ,0
Ethnographic Atlas,Karuk,Nb34,xd1095,Karok (Nb34),42,-123,42,-123,karo1304,Karok,kyh,Karok,1860,4,"Exogamous communities, i.e., those revealing a marked tendency toward local exogamy without having the specific structure of clans",,,Gifford(1922h); Kroeber(1925c); Driver(1939); ,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Gifford(1922h); Kroeber(1925c); Driver(1939); ,0,1860,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,,Gifford(1922h); Kroeber(1925c); Driver(1939); ,0,1860,9,No preferred cousin marriage,,,Gifford(1922h); Kroeber(1925c); Driver(1939); ,0
Ethnographic Atlas,Druze,Cj8,xd594,Druze (Cj8),32.77,35.03,33,35,sunn1238,Sunni Beiruti Arabic,,Afro-Asiatic,1930,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); ,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); ,NA,1930,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); ,1,1930,4,FaBrDa is preferred spouse,,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); ,0
Ethnographic Atlas,Ungazikmit,ec14,xd622,Ungazikmit (ec14),64,173,64,173,chap1266,Chaplino,,Eskimo-Aleut,1880,1,"Demes, i.e., communities revealing a marked tendency toward local endogamy but not segmented into clan-barrios",,those of South-Eastern Chukotka,Lopulenko(1980); Chlenov(1973); Krupnik(1983); Menovshchikov(1961); ,1880,7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns",,those of South-Eastern Chukotka,Lopulenko(1980); Chlenov(1973); Krupnik(1983); Menovshchikov(1961); ,0,1880,8,"Nonlateral marriage, i.e., unions forbidden with any first or second cousin",,those of South-Eastern Chukotka,Lopulenko(1980); Chlenov(1973); Krupnik(1983); Menovshchikov(1961); ,0,1880,9,No preferred cousin marriage,,those of South-Eastern Chukotka,Lopulenko(1980); Chlenov(1973); Krupnik(1983); Menovshchikov(1961); ,0
Ethnographic Atlas,Apinaye,Sj7,xd1415,Apinaye (Sj7),-6,-49,-6,-49,apin1244,Apinayé,apn,Nuclear-Macro-Je,1920,2,"Segmented communities, i.e., those divided into barrios, wards, or hamlets, each of which is essentially a localized kin group, a clan or ramage, in the absence of any indication of local exogamy. Large extended families (see ""Domestic organization""), are treated as clan-barrios if they are integrated by a rule of ambilineal, matrilineal, or patrilineal descent.",,,Nimuendaju(1939); Maybury-Lewis(1960); ,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Nimuendaju(1939); Maybury-Lewis(1960); ,1,1920,6,Nonlateral marriage in which all first cousins and some but not all second cousins are forbidden as spouses,"Entry follows Nimuendaju; Maybury-Lewis gives 'duolateral' (code ""3"")",,Nimuendaju(1939); Maybury-Lewis(1960); ,0,1920,9,No preferred cousin marriage,"Entry follows Nimuendaju; Maybury-Lewis gives 'a symmetrical cross-cousin' (code ""1"")",,Nimuendaju(1939); Maybury-Lewis(1960); ,0
Ethnographic Atlas,Dutch,Cg1,xd541,Dutch (Cg1),53,7,53,7,dutc1256,Dutch,nld,Indo-European,1950,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,with special reference to the village of Anderen in Anlo parish of Drente province,Coon(1939); Keur and Keur(1955); ,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the village of Anderen in Anlo parish of Drente province,Coon(1939); Keur and Keur(1955); ,0,1950,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,with special reference to the village of Anderen in Anlo parish of Drente province,Coon(1939); Keur and Keur(1955); ,1,1950,9,No preferred cousin marriage,,with special reference to the village of Anderen in Anlo parish of Drente province,Coon(1939); Keur and Keur(1955); ,0
Ethnographic Atlas,Tazarawa,Cb25,xd475,Tazarawa (Cb25),14,8,14,8,haus1257,Hausa,hau,Afro-Asiatic,1930,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,,Anonymous(1939); ,,NA,Missing data,,,,NA,1930,1,"Quadrilateral marriage, i.e., marriage allowed with any first cousin",,,Anonymous(1939); ,1,1930,9,No preferred cousin marriage,,,Anonymous(1939); ,0
Ethnographic Atlas,Pahari,Ef7,xd669,Pahari (Ef7),30,78,30,78,maha1287,Mahasu Pahari,bfz,Indo-European,1950,3,Agamous communities without localized clans or any marked tendency toward either local exogamy or local endogamy,,with special reference to the village of Sirkanda in western Uttar Pradesh,Berreman(1962a); Berreman(1963); Berreman(1962b); ,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the village of Sirkanda in western Uttar Pradesh,Berreman(1962a); Berreman(1963); Berreman(1962b); ,0,1950,7,Nonlateral marriage when evidence is available only for first cousins,,with special reference to the village of Sirkanda in western Uttar Pradesh,Berreman(1962a); Berreman(1963); Berreman(1962b); ,0,1950,9,No preferred cousin marriage,,with special reference to the village of Sirkanda in western Uttar Pradesh,Berreman(1962a); Berreman(1963); Berreman(1962b); ,0
